catalog,vizier_source,vizier_table,recno,Name,RAJ2000,DEJ2000,Sep,Photz,E_Photz,e_Photz,Rich,e_Rich,RA_deg,Dec_deg
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1444,MOO J1619+2106,16 19 36.90,+21 07 09.8,54,1e+20,1e+20,1e+20,16959,63,244.90374999999997,21.11938888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1445,MOO J1619+4024,16 19 50.78,+40 24 27.3,19,1.5,0.25,0.09,11,3,244.9615833333333,40.407583333333335
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1446,MOO J1620+1340,16 20 10.94,+13 40 16.1,18,0.94,0.1,0.09,33,6,245.04558333333327,13.671138888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1447,MOO J1620+1340,16 20 10.94,+13 40 16.1,18,0.94,0.1,0.09,33,6,245.04558333333327,13.671138888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1448,MOO J1621+1323,16 21 09.70,+13 23 16.4,9,1.17,0.1,0.08,37,6,245.29041666666663,13.387888888888888
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1449,MOO J1623+4836,16 23 57.19,+48 36 25.6,7,1.08,0.08,0.09,16,4,245.98829166666664,48.60711111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1450,MOO J1625+1806,16 24 58.52,+18 06 22.3,31,0.89,0.1,0.08,23,5,246.2438333333333,18.106194444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1451,MOO J1625+2629,16 25 03.44,+26 30 00.0,2,1.17,0.08,0.06,31,5,246.26433333333333,26.5
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1452,MOO J1625+2629,16 25 03.44,+26 30 00.0,2,1.17,0.08,0.06,31,5,246.26433333333333,26.5
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1453,MOO J1625+0459,16 25 48.38,+04 59 06.5,8,1.01,0.11,0.11,5,3,246.4515833333333,4.985138888888889
